customerid,region,age
3138732,New Zealand,19
3235971,Australia,17
383464,New Zealand,75
1439466,New Zealand,26
1435934,New Zealand,20
1434086,New Zealand,17
1437108,Australia,21
1441524,Australia,24
1438631,New Zealand,23
1442737,New Zealand,24
1435421,New Zealand,21
1440399,New Zealand,23
1434084,New Zealand,22
1439485,New Zealand,27
1438971,New Zealand,32
969513,Australia,38
2385192,New Zealand,30
2873724,New Zealand,27
978676,New Zealand,52
452068,New Zealand,31
841339,New Zealand,41
2206244,Australia,22
2217516,Australia,21
3129862,Australia,22
2282906,Australia,18
2148252,Australia,117
3226201,New Zealand,22
3109684,Australia,21
785577,New Zealand,27
2703229,Australia,21
2295555,New Zealand,51
3070463,Australia,20
3177079,Australia,19
2985026,Australia,17
3037930,Australia,17
1168329,New Zealand,41
3053281,Australia,21
2259346,Australia,39
3085175,Australia,22
2168694,Australia,22
3354259,Australia,16
581696,New Zealand,23
728749,New Zealand,67
748238,New Zealand,24
916505,New Zealand,25
1456139,New Zealand,22
3201726,Australia,19
3216100,New Zealand,77
715780,New Zealand,23
1298542,New Zealand,17
1519343,New Zealand,57
672840,New Zealand,59
2334533,New Zealand,17
2936505,Australia,19
2984638,New Zealand,17
2780614,New Zealand,22
792453,New Zealand,36
2142872,New Zealand,21
2762342,Australia,17
1431851,New Zealand,56
2937135,Australia,19
2759154,Australia,18
3352312,Australia,37
2932029,Australia,22
854643,Australia,23
364597,New Zealand,41
445857,New Zealand,32
1028236,New Zealand,48
2660196,New Zealand,26
3693954,Australia,16
3876667,Australia,21
316775,New Zealand,33
1147478,Australia,19
3233682,Australia,19
162427,New Zealand,29
756773,New Zealand,30
1000535,Australia,30
2751974,Australia,22
2870242,Australia,27
3288549,Australia,20
742178,New Zealand,23
950077,New Zealand,29
644171,New Zealand,30
437519,New Zealand,24
277806,New Zealand,25
194877,New Zealand,28
369561,New Zealand,19
427092,New Zealand,26
958313,New Zealand,21
614675,New Zealand,24
436003,New Zealand,23
489811,New Zealand,21
333997,New Zealand,37
427860,New Zealand,28
779641,New Zealand,43
421130,Australia,31
376370,New Zealand,24
1602190,New Zealand,20
360861,New Zealand,26
344080,New Zealand,26
3323625,Australia,21
239745,New Zealand,30
258289,New Zealand,33
295116,New Zealand,32
306523,New Zealand,41
311284,New Zealand,42
360323,New Zealand,36
529143,Australia,16
741859,New Zealand,30
763831,Australia,26
809221,New Zealand,36
927977,New Zealand,48
943836,New Zealand,22
1014636,New Zealand,31
1035821,New Zealand,26
1046533,Australia,24
1055506,New Zealand,37
1123992,Australia,20
1189900,New Zealand,65
1283072,Australia,18
1344536,Australia,27
1414662,Australia,21
1544151,Australia,15
1640528,New Zealand,24
2294336,Australia,22
2439092,New Zealand,16
2574843,Australia,16
2580560,Australia,22
2587682,Australia,29
2598624,Australia,29
2794686,New Zealand,23
2887534,Australia,21
2901956,Australia,22
2917966,Australia,26
2923269,Australia,21
2982818,Australia,17
3007157,Australia,22
3061674,Australia,20
3099233,Australia,22
3120553,Australia,20
3120932,Australia,20
3190970,Australia,23
3284095,New Zealand,22
3285840,New Zealand,33
3342413,New Zealand,21
3447425,New Zealand,19
3474700,New Zealand,21
3516341,New Zealand,22
3538503,New Zealand,51
3638127,USA,22
771037,New Zealand,24
381538,New Zealand,26
1160242,New Zealand,38
350148,Australia,39
333581,New Zealand,39
1654847,New Zealand,23
2692653,Australia,42
3558149,Australia,41
167431,New Zealand,24
530594,New Zealand,22
2298202,Australia,22
134912,New Zealand,30
2874158,New Zealand,23
3656693,Australia,20
758274,Australia,34
3627847,Australia,17
3475153,Australia,16
3500916,Australia,24
3332238,Australia,20
3603705,Australia,20
3676602,Australia,20
950140,New Zealand,24
2843732,USA,26
3505219,New Zealand,120
2353255,New Zealand,20
604239,New Zealand,26
2557971,New Zealand,18
2754888,Australia,28
2904730,Australia,29
2978569,Australia,23
3020099,Australia,27
3351469,Australia,24
2751577,New Zealand,22
3706094,Australia,16
3309591,New Zealand,21
74114,New Zealand,29
916513,Australia,20
2939731,New Zealand,15
3169556,New Zealand,20
3873022,Australia,20
770920,New Zealand,23
876594,Australia,24
1393905,Australia,22
2671447,Australia,21
3249302,New Zealand,23
3817150,Australia,37
407512,New Zealand,21
440668,New Zealand,21
509194,New Zealand,22
721152,New Zealand,19
812086,New Zealand,21
833190,Australia,25
850558,New Zealand,21
850867,Australia,20
872657,New Zealand,20
891359,New Zealand,24
906286,New Zealand,21
913000,Australia,24
920262,New Zealand,22
921097,New Zealand,20
928014,New Zealand,19
946547,New Zealand,23
951658,New Zealand,24
958287,Australia,19
960681,New Zealand,21
967835,New Zealand,23
968171,New Zealand,21
987274,New Zealand,24
993583,New Zealand,21
998201,New Zealand,23
1020751,Australia,20
1029635,Australia,20
1049516,New Zealand,23
1056705,Australia,18
1145888,New Zealand,21
1160896,New Zealand,24
1166321,New Zealand,21
1169820,New Zealand,19
1175759,New Zealand,21
1187386,New Zealand,21
1316547,New Zealand,19
1327552,New Zealand,22
1333772,New Zealand,20
1400325,New Zealand,19
1413285,New Zealand,21
1523612,Australia,21
1529895,New Zealand,20
1604241,New Zealand,20
1615123,New Zealand,27
1621246,New Zealand,23
1621261,New Zealand,20
1621278,New Zealand,20
2270232,New Zealand,16
2272989,New Zealand,20
2276629,Australia,20
2298932,New Zealand,18
2359530,Australia,19
2364743,Australia,21
2365170,Australia,20
2386664,Australia,18
2655768,New Zealand,15
2664134,New Zealand,18
2716632,New Zealand,16
2723778,New Zealand,19
2737896,New Zealand,18
2778885,New Zealand,19
2785150,New Zealand,21
2797433,New Zealand,19
2814874,New Zealand,19
2817699,New Zealand,18
2820977,Australia,20
2882018,New Zealand,18
2883235,New Zealand,20
2889996,Australia,22
2919851,Australia,20
2927210,New Zealand,21
2953414,New Zealand,16
2965810,New Zealand,22
2977214,Australia,16
2978051,New Zealand,21
2978202,New Zealand,18
2979349,New Zealand,22
2990074,New Zealand,18
2991582,Australia,16
3011888,New Zealand,20
3011910,Australia,40
3073447,Australia,18
3101328,New Zealand,19
3158353,Australia,16
3198199,New Zealand,19
3230501,New Zealand,17
3270536,New Zealand,18
3284258,New Zealand,16
3313434,Australia,20
3335466,New Zealand,20
3344084,New Zealand,22
3359348,New Zealand,20
3366620,New Zealand,17
3369185,Australia,17
3392776,New Zealand,22
3429013,Australia,18
3431931,Australia,19
3462522,Australia,17
3477346,New Zealand,15
3510423,New Zealand,19
3528535,Australia,16
3529080,Australia,16
3537246,New Zealand,17
3563566,New Zealand,18
3595300,New Zealand,19
3634292,New Zealand,17
3645110,Australia,21
3646542,New Zealand,19
3659729,New Zealand,16
3690455,Australia,18
3697842,Australia,19
3724823,Australia,18
3815741,Australia,15
3853151,New Zealand,16
2819360,New Zealand,18
1597304,Australia,20
2467820,New Zealand,21
3105443,Australia,18
1621345,New Zealand,18
421155,New Zealand,31
1434637,Australia,25
1069104,New Zealand,19
1496678,Australia,25
3446650,New Zealand,18
2253384,New Zealand,18
2518038,New Zealand,19
2281259,New Zealand,18
2330178,New Zealand,20
369295,New Zealand,28
1019161,Australia,34
1020622,New Zealand,34
1621375,New Zealand,18
2363259,New Zealand,18
846398,Australia,27
2369956,New Zealand,30
2552823,USA,21
3145668,Australia,30
3306610,New Zealand,20
2322554,New Zealand,17
2383317,New Zealand,16
3166094,New Zealand,15
3021266,Australia,18
1266528,New Zealand,19
3260712,Australia,18
3480409,Australia,20
1042133,New Zealand,31
3063710,Australia,17
199597,New Zealand,40
2301215,New Zealand,25
3538739,Australia,30
2770076,New Zealand,20
2837575,New Zealand,21
470361,Australia,28
224141,New Zealand,27
407669,New Zealand,23
744353,New Zealand,23
918347,New Zealand,22
938918,New Zealand,21
1943785,New Zealand,20
2168917,New Zealand,21
3110730,New Zealand,20
3127756,New Zealand,19
2791443,New Zealand,20
2876228,New Zealand,21
2890455,New Zealand,17
3831161,Australia,24
3375794,New Zealand,15
3535171,New Zealand,15
1103552,New Zealand,20
618627,Australia,23
1156205,New Zealand,52
2716694,Australia,27
2796374,New Zealand,25
3437333,New Zealand,1
3504917,Australia,24
3515635,Australia,21
3832960,Australia,21
572238,New Zealand,29
1346547,New Zealand,24
173416,New Zealand,29
920310,Australia,25
1213576,Australia,29
3812381,Australia,29
1402087,Australia,23
222876,New Zealand,35
856328,New Zealand,34
934160,New Zealand,24
2497628,New Zealand,29
2220842,Australia,21
2664921,New Zealand,20
2954001,New Zealand,17
1346964,Australia,22
2864865,New Zealand,28
2870444,Australia,25
3016451,Australia,20
2551410,Australia,20
982219,Australia,25
867450,New Zealand,26
2769566,Australia,18
3376138,Australia,18
326326,New Zealand,33
1608045,New Zealand,19
3231896,New Zealand,23
961131,Australia,31
2179400,Australia,25
3026946,USA,25
149037,New Zealand,30
3319302,Australia,21
3569915,Australia,20
3747519,Australia,19
1333962,Australia,31
2831543,New Zealand,21
2579517,Australia,23
1473163,Australia,36
177619,New Zealand,36
726008,New Zealand,25
875198,Australia,22
1520932,Australia,22
2480501,New Zealand,35
2840140,New Zealand,26
3106574,Australia,26
3154140,Australia,22
3267147,Australia,22
3311959,New Zealand,19
2316258,Australia,24
1496497,New Zealand,30
3008459,New Zealand,18
365096,New Zealand,27
589864,Australia,27
2854682,New Zealand,26
3081560,New Zealand,18
3119869,Australia,22
3647449,New Zealand,17
3278842,Australia,20
1264560,New Zealand,22
1343051,New Zealand,21
3437297,New Zealand,17
3610484,New Zealand,17
3513731,Australia,19
1015974,New Zealand,22
2841959,New Zealand,19
600587,New Zealand,31
772683,New Zealand,25
1170395,New Zealand,39
2497633,New Zealand,18
3089059,Australia,23
622096,Australia,22
51668,New Zealand,42
72837,New Zealand,28
74601,New Zealand,37
133386,New Zealand,32
140203,New Zealand,39
147400,New Zealand,27
165205,New Zealand,27
173469,New Zealand,35
177293,New Zealand,31
186555,New Zealand,30
198257,Australia,34
199835,New Zealand,32
201498,New Zealand,28
204808,New Zealand,30
215839,New Zealand,25
228274,New Zealand,26
240245,New Zealand,27
246376,Australia,42
246552,Australia,28
252731,New Zealand,22
257047,New Zealand,45
258294,New Zealand,24
268917,Australia,30
276666,New Zealand,26
285839,New Zealand,30
288190,New Zealand,39
288841,New Zealand,30
289127,New Zealand,24
291973,New Zealand,27
307117,New Zealand,23
307875,New Zealand,25
307967,Australia,32
310485,New Zealand,27
313866,New Zealand,37
317747,New Zealand,24
318101,New Zealand,22
319479,New Zealand,27
329102,New Zealand,26
330485,New Zealand,36
331894,New Zealand,29
332838,New Zealand,28
333681,Australia,26
335268,New Zealand,33
339589,New Zealand,42
341141,New Zealand,28
343638,New Zealand,39
357734,New Zealand,30
361080,Australia,27
365568,Australia,28
368071,New Zealand,27
373762,New Zealand,27
375483,Australia,34
380169,New Zealand,42
381456,New Zealand,26
382132,New Zealand,31
383926,New Zealand,31
385372,New Zealand,27
385675,New Zealand,29
397555,New Zealand,39
400837,New Zealand,23
413664,New Zealand,37
416177,Australia,29
416323,Australia,31
428716,New Zealand,37
436334,New Zealand,26
442225,New Zealand,28
460250,Australia,30
464308,New Zealand,23
472261,New Zealand,51
476832,New Zealand,27
498432,New Zealand,25
500337,Australia,33
501373,New Zealand,28
516143,Australia,25
532210,Australia,26
536193,New Zealand,22
536284,Australia,25
537467,New Zealand,39
539013,New Zealand,22
550846,Australia,25
567428,New Zealand,32
574831,New Zealand,23
574980,Australia,22
584305,Australia,25
585639,New Zealand,31
590643,Australia,25
605880,New Zealand,30
623808,Australia,24
637377,New Zealand,23
640591,Australia,29
642161,Australia,21
646270,Australia,27
659311,Australia,23
663177,New Zealand,25
663219,Australia,33
677945,Australia,24
688881,Australia,25
697369,New Zealand,24
707476,New Zealand,22
724146,Australia,25
725819,New Zealand,23
727326,Australia,23
731612,Australia,24
738230,Australia,25
738716,Australia,28
740769,New Zealand,24
743641,Australia,22
760828,Australia,20
761056,New Zealand,20
762192,New Zealand,21
763956,Australia,26
766061,New Zealand,28
767757,Australia,27
773048,Australia,25
773387,Australia,24
779605,Australia,22
785336,Australia,25
785815,Australia,22
786855,Australia,20
787195,Australia,27
790120,Australia,26
803042,New Zealand,19
805461,New Zealand,22
805911,Australia,22
806173,Australia,24
809030,Australia,25
809098,Australia,23
810924,Australia,30
812904,Australia,25
821317,Australia,23
821633,New Zealand,20
824367,New Zealand,21
834594,New Zealand,24
834759,Australia,20
836363,New Zealand,27
836986,Australia,25
838083,Australia,20
838605,Australia,24
842749,New Zealand,22
845120,New Zealand,26
855836,New Zealand,25
860270,Australia,22
869935,Australia,20
875809,Australia,23
877929,New Zealand,26
882636,Australia,18
892687,Australia,23
897646,Australia,26
901767,Australia,26
902379,Australia,21
902852,Australia,23
903278,Australia,24
904263,Australia,18
904833,Australia,24
909066,Australia,24
910104,Australia,20
910381,Australia,21
911273,New Zealand,22
911746,Australia,23
911909,Australia,27
913569,Australia,23
913655,New Zealand,24
916209,Australia,23
916978,Australia,22
917783,Australia,24
918249,Australia,22
918654,Australia,23
919151,Australia,25
919439,Australia,22
919741,Australia,37
923457,New Zealand,32
925242,Australia,28
930390,New Zealand,22
939378,Australia,26
939729,New Zealand,26
941118,New Zealand,26
943190,New Zealand,21
943448,New Zealand,32
945559,Australia,21
946332,Australia,24
947834,New Zealand,21
950604,New Zealand,19
951478,Australia,24
954939,Australia,22
956681,Australia,22
970124,New Zealand,18
970719,Australia,23
970794,Australia,23
975177,Australia,19
976147,New Zealand,22
978345,Australia,22
980575,Australia,23
982560,Australia,25
984007,Australia,25
984503,Australia,24
985767,Australia,23
987714,Australia,22
989812,New Zealand,21
990599,New Zealand,39
992958,Australia,26
998141,Australia,26
1002542,Australia,21
1005072,Australia,22
1005480,Australia,22
1008897,Australia,27
1009755,New Zealand,22
1019064,Australia,24
1020085,New Zealand,23
1021598,Australia,20
1021975,New Zealand,22
1022071,Australia,26
1022883,Australia,26
1025610,New Zealand,19
1029106,New Zealand,30
1029902,Australia,24
1031103,Australia,22
1031713,Australia,25
1032698,New Zealand,27
1036330,Australia,19
1037890,Australia,20
1042943,New Zealand,22
1043282,New Zealand,24
1043525,New Zealand,21
1045865,Australia,19
1048375,Australia,23
1052023,New Zealand,20
1053226,Australia,22
1053584,Australia,24
1058341,Australia,18
1062922,New Zealand,25
1063715,Australia,21
1069061,Australia,18
1076441,Australia,24
1079821,Australia,20
1086038,Australia,20
1098321,Australia,23
1098385,New Zealand,23
1100328,Australia,23
1107607,Australia,26
1127020,Australia,20
1139978,New Zealand,22
1157007,New Zealand,22
1158067,New Zealand,23
1161143,New Zealand,21
1174017,New Zealand,22
1194555,Australia,19
1211551,Australia,26
1218058,Australia,23
1220577,Australia,22
1220817,New Zealand,20
1225182,Australia,19
1230986,Australia,22
1234614,Australia,29
1236521,Australia,22
1236532,New Zealand,21
1244220,Australia,23
1247225,Australia,20
1248310,New Zealand,20
1250649,New Zealand,121
1253219,New Zealand,22
1260928,New Zealand,24
1272846,Australia,18
1276276,New Zealand,22
1280808,New Zealand,20
1281035,Australia,21
1292700,Australia,22
1308325,New Zealand,20
1320558,Australia,20
1320582,Australia,23
1327820,Australia,22
1328777,Australia,22
1330163,Australia,28
1332215,New Zealand,20
1335645,Australia,21
1347136,Australia,20
1353474,New Zealand,23
1363825,Australia,18
1377378,Australia,23
1378530,Australia,23
1380182,Australia,24
1388968,Australia,20
1401767,New Zealand,24
1405523,Australia,30
1417048,New Zealand,27
1438842,Australia,23
1452325,Australia,22
1458118,Australia,23
1459153,Australia,20
1463066,Australia,22
1463525,New Zealand,28
1466486,New Zealand,18
1473397,Australia,20
1473877,Australia,22
1476336,Australia,19
1495387,Australia,23
1529224,Australia,22
1531635,Australia,21
1532459,Australia,25
1534796,Australia,22
1545286,Australia,20
1552983,Australia,17
1564962,Australia,20
1568523,New Zealand,24
1569843,Australia,20
1576905,Australia,30
1577905,Australia,19
1584235,Australia,21
1602071,New Zealand,21
1603464,Australia,18
1614600,Australia,19
1621956,New Zealand,19
1621969,New Zealand,25
1622059,New Zealand,23
1622222,Australia,17
1680874,New Zealand,25
1969463,New Zealand,20
2147906,Australia,26
2151520,New Zealand,21
2155080,Australia,23
2162248,New Zealand,30
2174446,Australia,19
2184116,Australia,22
2188531,Australia,18
2190370,Australia,18
2190653,Australia,19
2211439,Australia,18
2211460,Australia,17
2212789,Australia,17
2234846,Australia,19
2238049,Australia,20
2239416,Australia,20
2242983,Australia,20
2251723,Australia,23
2252315,Australia,22
2263660,Australia,20
2264192,New Zealand,19
2283312,Australia,23
2283764,New Zealand,19
2284224,Australia,20
2310023,New Zealand,21
2321550,Australia,20
2330384,Australia,21
2332731,New Zealand,20
2334650,Australia,22
2339916,Australia,18
2343959,New Zealand,18
2345166,Australia,24
2357966,Australia,18
2361364,Australia,18
2361646,Australia,21
2369848,New Zealand,20
2372262,New Zealand,21
2386112,Australia,18
2399431,New Zealand,20
2419964,New Zealand,20
2426034,New Zealand,19
2435149,New Zealand,24
2439861,Australia,24
2441043,New Zealand,24
2443777,New Zealand,22
2466738,New Zealand,51
2471413,New Zealand,21
2472355,New Zealand,19
2501930,New Zealand,16
2510968,Australia,19
2512169,New Zealand,19
2529613,Australia,21
2530079,New Zealand,19
2532043,Australia,21
2538697,Australia,18
2542498,New Zealand,21
2564374,New Zealand,18
2569984,Australia,19
2570681,Australia,21
2587668,New Zealand,19
2591640,Australia,20
2614088,New Zealand,20
2614563,Australia,20
2617148,Australia,17
2618935,New Zealand,20
2627156,New Zealand,22
2643235,New Zealand,24
2646394,Australia,20
2676093,Australia,20
2703210,New Zealand,17
2715696,New Zealand,18
2716931,New Zealand,18
2720506,New Zealand,19
2734501,Australia,19
2739357,New Zealand,19
2743335,New Zealand,21
2748423,USA,24
2757411,Australia,20
2757628,New Zealand,21
2764783,New Zealand,21
2766002,New Zealand,19
2772065,New Zealand,19
2782397,Australia,17
2782515,New Zealand,18
2789400,New Zealand,19
2795544,New Zealand,16
2796118,Australia,18
2801295,Australia,20
2807515,New Zealand,19
2809026,Australia,23
2809862,Australia,22
2817864,Australia,22
2820586,New Zealand,22
2828829,New Zealand,19
2830928,Australia,17
2832908,Australia,20
2834305,New Zealand,19
2835737,New Zealand,19
2837874,Australia,22
2843380,New Zealand,16
2854121,New Zealand,20
2865635,New Zealand,23
2865689,New Zealand,22
2872575,New Zealand,21
2877844,Australia,22
2880104,Australia,25
2880496,Australia,20
2880736,Australia,20
2881691,Australia,26
2882263,Australia,26
2885248,New Zealand,17
2887527,Australia,20
2887719,Australia,21
2888493,Australia,19
2893753,Australia,25
2897486,Australia,16
2897562,Australia,18
2899716,Australia,20
2918505,USA,22
2932896,Australia,18
2934291,Australia,23
2938071,New Zealand,18
2944569,Australia,19
2957733,New Zealand,20
2970026,Australia,20
2979173,New Zealand,25
2990000,Australia,15
2994703,Australia,17
2994949,New Zealand,15
2997306,Australia,23
3002706,Australia,28
3008135,Australia,15
3008636,USA,21
3012117,Australia,17
3012198,Australia,21
3021459,USA,22
3032137,Australia,27
3035483,Australia,17
3036581,Australia,21
3039190,Australia,21
3043042,Australia,22
3043848,Australia,20
3045170,Australia,20
3048823,Australia,20
3054370,New Zealand,16
3059476,Australia,19
3062738,Australia,19
3063799,USA,21
3064054,Australia,23
3072206,New Zealand,18
3075972,Australia,27
3076717,Australia,19
3093859,USA,20
3098927,Australia,17
3106049,New Zealand,26
3107508,Australia,20
3110763,Australia,25
3111767,Australia,19
3118366,Australia,24
3119917,Australia,19
3122699,Australia,18
3125480,Australia,19
3126324,Australia,25
3126325,Australia,16
3127161,Australia,15
3132292,Australia,29
3143720,Australia,19
3150846,Australia,22
3153259,Australia,18
3157588,Australia,23
3157619,Australia,19
3157899,Australia,19
3166436,Australia,24
3172097,Australia,20
3173062,Australia,22
3174640,Australia,20
3182155,Australia,25
3187482,Australia,21
3195297,Australia,17
3196182,Australia,20
3205356,USA,20
3212396,Australia,17
3216356,Australia,21
3227178,Australia,24
3233560,Australia,20
3235764,Australia,21
3248803,Australia,16
3251303,Australia,21
3252514,Australia,17
3253452,Australia,20
3256369,Australia,17
3259394,Australia,23
3274597,Australia,16
3283726,Australia,23
3283978,Australia,19
3284350,Australia,22
3293754,New Zealand,15
3295891,Australia,16
3317102,Australia,22
3324069,Australia,19
3327412,Australia,19
3335973,Australia,18
3339188,Australia,17
3345325,Australia,18
3345764,Australia,16
3360535,Australia,21
3374477,Australia,22
3377604,New Zealand,17
3382678,Australia,18
3385516,Australia,20
3395133,Australia,29
3411963,Australia,22
3414854,Australia,20
3434450,Australia,20
3443880,Australia,27
3444358,New Zealand,16
3451389,Australia,22
3454897,Australia,21
3465210,Australia,25
3468238,Australia,17
3482962,Australia,27
3486105,Australia,17
3491584,Australia,23
3495793,Australia,16
3496284,Australia,19
3497633,Australia,23
3497867,Australia,16
3498328,Australia,18
3501002,Australia,20
3503298,Australia,17
3504476,Australia,22
3506513,Australia,16
3507016,Australia,18
3511606,Australia,20
3518144,Australia,22
3518954,Australia,29
3523771,New Zealand,21
3524847,Australia,17
3533637,Australia,17
3535575,Australia,19
3564356,Australia,20
3569674,New Zealand,16
3598252,Australia,18
3602351,New Zealand,29
3611655,Australia,20
3625106,Australia,18
3633583,Australia,22
3635585,Australia,27
3645909,Australia,19
3647791,Australia,20
3649598,Australia,19
3680766,Australia,17
3681666,Australia,17
3686109,Australia,18
3686896,Australia,16
3699880,United States,24
3709238,Australia,20
3711209,Australia,20
3725632,Australia,16
3735833,Australia,24
3735909,Australia,0
3737210,Australia,19
3741282,Australia,15
3743192,Australia,21
3756509,Australia,18
3784614,Australia,20
3793854,USA,22
3803248,Australia,19
3820320,Australia,16
3836366,Australia,47
3839168,Australia,15
3883180,Australia,23
119777,New Zealand,34
3055956,Australia,18
1027885,New Zealand,30
1052385,Australia,27
3516328,Australia,19
2824919,New Zealand,23
2875711,New Zealand,18
3452661,Australia,19
282552,New Zealand,52
291968,New Zealand,34
305562,New Zealand,26
308128,Australia,25
345029,New Zealand,28
357981,New Zealand,33
381846,New Zealand,27
416355,New Zealand,27
572728,New Zealand,24
657580,New Zealand,28
658703,Australia,34
740835,New Zealand,22
784575,Australia,20
865078,New Zealand,26
909305,Australia,21
927070,Australia,24
949681,Australia,23
966453,Australia,24
1098263,Australia,20
1263650,New Zealand,27
1428613,Australia,30
2231444,New Zealand,18
2244295,Australia,19
2258247,Australia,20
2299904,Australia,19
2622989,New Zealand,18
2736220,New Zealand,19
2747477,Australia,21
2783217,New Zealand,20
2835485,New Zealand,20
2856158,New Zealand,21
2965538,Australia,39
3068515,Australia,22
3084055,Australia,18
3088391,Australia,22
3090879,United States,20
3140275,USA,26
3159985,Australia,22
3196308,Australia,15
3247541,Australia,21
3413422,Australia,18
3421179,Australia,20
3462109,Australia,23
3466524,Australia,20
3515747,Australia,19
3558851,Australia,15
3622070,Australia,23
3681911,Australia,22
3693474,Australia,19
3716977,Australia,16
3891542,Australia,19
3906127,Australia,19
457006,Australia,26
118912,New Zealand,31
122912,New Zealand,28
123394,New Zealand,24
127663,New Zealand,30
148806,New Zealand,32
150698,New Zealand,41
157839,Australia,29
160171,New Zealand,44
175879,New Zealand,38
226544,Australia,27
247482,Australia,27
250649,New Zealand,40
266524,New Zealand,26
272083,New Zealand,22
292974,New Zealand,46
310819,New Zealand,49
314475,New Zealand,23
326834,New Zealand,36
336964,New Zealand,28
340679,New Zealand,24
342276,New Zealand,27
343535,New Zealand,26
349173,New Zealand,38
383089,New Zealand,25
388053,New Zealand,28
401514,New Zealand,25
407104,New Zealand,24
417140,New Zealand,23
443075,New Zealand,22
469992,New Zealand,25
473719,New Zealand,26
475603,New Zealand,24
504663,Australia,26
537643,New Zealand,33
539627,New Zealand,37
542268,New Zealand,24
542722,Australia,24
578421,New Zealand,25
592330,New Zealand,25
619174,New Zealand,38
619849,New Zealand,37
665069,Australia,28
678587,Australia,27
682324,Australia,26
706306,New Zealand,27
728489,Australia,30
729228,Australia,23
747022,New Zealand,43
754676,New Zealand,29
759768,New Zealand,27
761338,Australia,21
772950,Australia,28
807993,Australia,27
809423,New Zealand,42
820157,New Zealand,29
834195,Australia,21
838675,Australia,24
855536,Australia,22
859137,Australia,27
869262,New Zealand,22
881352,Australia,26
896945,New Zealand,23
897176,New Zealand,20
921412,Australia,25
921643,New Zealand,31
924236,Australia,40
927239,Australia,22
940889,Australia,25
940902,New Zealand,26
944031,Australia,28
944062,Australia,28
946753,New Zealand,24
954158,Australia,24
957466,Australia,21
969065,Australia,24
984736,Australia,23
985317,Australia,20
985584,New Zealand,31
995559,Australia,21
1000315,Australia,26
1002030,Australia,28
1021718,Australia,24
1028321,New Zealand,43
1044682,Australia,29
1046434,Australia,22
1105093,Australia,25
1138896,Australia,26
1188330,New Zealand,21
1195170,New Zealand,25
1208463,Australia,21
1213112,New Zealand,20
1225607,Australia,22
1227545,Australia,26
1231069,New Zealand,19
1259892,New Zealand,21
1267971,New Zealand,21
1269419,New Zealand,26
1274676,Australia,20
1287208,New Zealand,52
1339829,New Zealand,19
1348595,New Zealand,21
1391989,Australia,22
1397616,Australia,21
1413808,Australia,26
1431006,New Zealand,32
1463401,New Zealand,19
1522424,Australia,25
1557236,New Zealand,28
1562051,Australia,23
1566707,New Zealand,21
1622326,New Zealand,26
1622451,Australia,25
1622459,New Zealand,19
1622480,New Zealand,19
1622486,New Zealand,25
1622492,New Zealand,26
1623871,New Zealand,21
2153797,Australia,19
2211844,Australia,20
2241977,Australia,25
2321014,New Zealand,16
2338242,Australia,21
