orderid,orderitemid,customerid,barcode,locale,total,deliverysuburb,deliverycity,country,discountcodeamount,created
3972732,11053643,1195447,26461113,NZ,62.98,Half Moon Bay,Auckland,New Zealand,7.00,1652749799
3972732,11053642,1195447,26548296,NZ,62.98,Half Moon Bay,Auckland,New Zealand,7.00,1652749799
3972731,11053641,2905516,26428789,AU,35.48,Coburg,Coburg,Australia,4.50,1652749771
3972730,11053640,158029,26084688,AU,58.47,Darlinghurst,Darlinghurst,Australia,0.00,1652749685
3972730,11053638,158029,26666877,AU,58.47,Darlinghurst,Darlinghurst,Australia,0.00,1652749685
3972730,11053639,158029,26667577,AU,58.47,Darlinghurst,Darlinghurst,Australia,0.00,1652749685
3972729,11053637,1522927,26455013,AU,109.97,Castle Hill,Castle Hill,Australia,0.00,1652749671
3972729,11053636,1522927,26470207,AU,109.97,Castle Hill,Castle Hill,Australia,0.00,1652749671
3972729,11053635,1522927,26549507,AU,109.97,Castle Hill,Castle Hill,Australia,0.00,1652749671
3972728,11053634,2631783,26653136,AU,49.98,Leichhardt,Leichhardt,Australia,0.00,1652749609
3972727,11053631,2628694,26040240,AU,94.97,Green Valley,Green Valley,Australia,20.00,1652749584
3972727,11053632,2628694,26179414,AU,94.97,Green Valley,Green Valley,Australia,20.00,1652749584
3972727,11053633,2628694,26574615,AU,94.97,Green Valley,Green Valley,Australia,20.00,1652749584
3972726,11053630,2716464,26222585,AU,24.99,Coogee,Coogee,Australia,0.00,1652749545
3972725,11053629,3884792,26118789,NZ,54.99,Mairangi Bay,Auckland,New Zealand,0.00,1652749520
3972725,11053628,3884792,26542461,NZ,54.99,Mairangi Bay,Auckland,New Zealand,0.00,1652749520
3972724,11053623,3058856,26318509,NZ,183.95,Kaikohe,Northland,New Zealand,46.00,1652749488
3972724,11053626,3058856,26444161,NZ,183.95,Kaikohe,Northland,New Zealand,46.00,1652749488
3972724,11053624,3058856,26629766,NZ,183.95,Kaikohe,Northland,New Zealand,46.00,1652749488
3972724,11053625,3058856,26673417,NZ,183.95,Kaikohe,Northland,New Zealand,46.00,1652749488
3972724,11053627,3058856,26703930,NZ,183.95,Kaikohe,Northland,New Zealand,46.00,1652749488
3972723,11053622,233124,26444284,NZ,39.93,Takaro,Palmerston North,New Zealand,0.00,1652749439
