orderid,orderitemid,customerid,barcode,locale,total,deliverysuburb,deliverycity,country,discountcodeamount,created
4006054,11148401,1506293,26687285,NZ,71.98,NULL,NULL,New Zealand,0.00,1653556661
4006054,11148400,1506293,26687384,NZ,71.98,NULL,NULL,New Zealand,0.00,1653556661
4006053,11148399,3892513,26438795,NZ,139.95,St Heliers,Auckland,New Zealand,0.00,1653556658
4006053,11148398,3892513,26545523,NZ,139.95,St Heliers,Auckland,New Zealand,0.00,1653556658
4006053,11148396,3892513,26606972,NZ,139.95,St Heliers,Auckland,New Zealand,0.00,1653556658
4006053,11148397,3892513,26619071,NZ,139.95,St Heliers,Auckland,New Zealand,0.00,1653556658
4006053,11148395,3892513,26687407,NZ,139.95,St Heliers,Auckland,New Zealand,0.00,1653556658
4006052,11148393,989905,26602967,NZ,107.97,Hamilton Lake,Hamilton,New Zealand,0.00,1653556655
4006052,11148392,989905,26607702,NZ,107.97,Hamilton Lake,Hamilton,New Zealand,0.00,1653556655
4006052,11148394,989905,26632797,NZ,107.97,Hamilton Lake,Hamilton,New Zealand,0.00,1653556655
4006051,11148391,3913660,26582641,AU,22.94,Truganina,Truganina,Australia,0.00,1653556655
4006050,11148390,2668862,26368900,NZ,30.94,Rosehill,Auckland,New Zealand,0.00,1653556653
4006049,11148389,1177262,26657165,NZ,31.99,Mount Cook,Wellington,New Zealand,0.00,1653556653
4006048,11148387,2573808,26387079,NZ,127.97,NULL,NULL,New Zealand,0.00,1653556646
4006048,11148388,2573808,26407524,NZ,127.97,NULL,NULL,New Zealand,0.00,1653556646
4006048,11148386,2573808,26427386,NZ,127.97,NULL,NULL,New Zealand,0.00,1653556646
4006047,11148383,1542787,26482668,NZ,103.97,Havelock North,"Hawke's Bay",New Zealand,0.00,1653556642
4006047,11148385,1542787,26689838,NZ,103.97,Havelock North,"Hawke's Bay",New Zealand,0.00,1653556642
4006047,11148384,1542787,26689890,NZ,103.97,Havelock North,"Hawke's Bay",New Zealand,0.00,1653556642
4006046,11148382,3913659,26443386,AU,103.97,Townsville,Townsville,Australia,0.00,1653556639
4006046,11148381,3913659,26477534,AU,103.97,Townsville,Townsville,Australia,0.00,1653556639
4006046,11148380,3913659,26691664,AU,103.97,Townsville,Townsville,Australia,0.00,1653556639
4006045,11148379,3728818,26365268,AU,38.94,Torrens Park,Torrens Park,Australia,0.00,1653556613
4006044,11148378,1016905,26217192,NZ,135.97,Maraenui,Napier,New Zealand,0.00,1653556596
4006044,11148376,1016905,26429793,NZ,135.97,Maraenui,Napier,New Zealand,0.00,1653556596
4006044,11148377,1016905,26430287,NZ,135.97,Maraenui,Napier,New Zealand,0.00,1653556596
4006043,11148375,3288085,26372464,AU,71.99,Highton,Highton,Australia,0.00,1653556594
4006042,11148373,2101381,26497693,AU,63.98,Ferryden Park,NULL,Australia,0.00,1653556590
4006042,11148374,2101381,26637532,AU,63.98,Ferryden Park,NULL,Australia,0.00,1653556590
4006041,11148370,1554580,26527925,AU,89.96,Fairlight ,Turramurra,Australia,0.00,1653556589
4006041,11148371,1554580,26528021,AU,89.96,Fairlight ,Turramurra,Australia,0.00,1653556589
4006041,11148372,1554580,26687117,AU,89.96,Fairlight ,Turramurra,Australia,0.00,1653556589
4006040,11148369,3185677,25821482,NZ,51.96,Birkenhead,Auckland,New Zealand,0.00,1653556588
