barcode,description,extdescription,department,prodgroup,category,season,colour,size,url
25691320,Recycled Relaxed Straight Leg Jean,"A pair of high-waisted jeans with a straight leg and raw edge hemline. Inside leg length: 80 cm.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Pants,Jeans Denim,Jeans Denim,WINTER 2021,WASHED BLACK,6,https://www.glassons.com/content/products/p-suko-straight-leg-jean-chrysler-grey-wash-front-jd46463pdnm.jpg?width=200
26527963,Square Neck Stitch Long Sleeve Crop Top,"A long sleeve top featuring a square neckline, stitch detailing, ribbed material and a cropped length.",Knit Tops,Tops Longsleeve,Tops Longsleeve,WINTER 2022,EUCALYPTUS LEAF,S,https://www.glassons.com/content/products/sailor-seamed-square-neck-black-front-tl53893cot.jpg?width=200
26564173,Flower Lace Detail Bralette,"This bralette features flower lace detailing at the front, side ruching and a cropped length.",Loungewear,Underwear,Underwear Tops,SUMMER 2022,WRITING BLUES,6,https://www.glassons.com/content/products/arlo-ruched-side-bralette-youre-irrelephant-front-ut51460lac.jpg?width=200
26454832,Recycled Cord High Rise Straight Leg Pant,"Corduroy pants featuring a high rise waist, straight leg fit, pockets and belt loops. Inside leg length = 70cm.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Pants,Pants Woven,Pants Woven,WINTER 2022,"YOU'RE IRRELEPHANT",10,https://www.glassons.com/content/products/r-heidi-high-rise-straight-leg-youre-irrelephant-front-pw52818rcor.jpg?width=200
26500645,Recycled Seamless Scoop Neck Cropped Long Sleeve,"This long sleeve top features a seamless material, scoop neckline & a cropped length. This product is made from recycled nylon, recycled nylon reduces dependence on fossil fuels as a raw material and uses fewer resources including water and energy. Our Recycled Nylon is Global Recycled Standard (GRS) sourced and certified.",Knit Tops,Tops Longsleeve,Tops Longsleeve,SUMMER 2022,SMOKED PEARL,M/L,https://www.glassons.com/content/products/slick-scoop-neck-seamless-smoked-pearl-front-tl53737rsea.jpg?width=200
25996340,Twist Reversible Knit Dress,"This reversible dress features a maxi-length with side split, twist front detail and rib knit material.

@ellacervetto wearing Sparkling Water.

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Dresses,Dresses Knitwear,Dresses Knitwear,WINTER 2021,BLACK,XS,https://www.glassons.com/content/products/r-brittney-twist-reversible-knit-dress-black-front-kd49848rknt.jpg?width=200
26026237,Stitch Underbust Halter Dress,"This mini dress features a halter neck with keyhole detailing, bust stitching and ribbed material.",Dresses,Dresses Knitwear,Dresses Knitwear,WINTER 2021,TRIPLE FLAME,XS,https://www.glassons.com/content/products/alia-halter-keyhole-knit-mini-black-front-kd49682knt.jpg?width=200
26208701,Bandeau Ruched Back Panel Crop Top,"A strapless bandeau top with a ruched back, panelled detailing, a sweetheart neckline and cropped length.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2022,BLACK,12,https://www.glassons.com/content/products/co-dani-bandeau-black-front-bv51735pln.jpg?width=200
26230634,High Waist Faux Leather Short,"These shorts feature 100% faux leather, a high waist with a slim fin and pintuck detail.",Shorts,Shorts Woven,Shorts Woven,SUMMER 2022,BLACK,14,https://www.glassons.com/content/products/co-pickle-pu-short-brownie-points-front-sw51625pu.jpg?width=200
26387017,Recycled Tie Waist Coat,"This Coat features a longline-relaxed fit, tie waist detailing and lapel and front pockets.

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Outerwear,Coats,Coats,WINTER 2022,GREY MARLE,XL,https://www.glassons.com/content/products/r-sandra-tie-waist-coat-grey-marle-front-cl52640rpln.jpg?width=200
25690149,Cropped Racer Knit Tank,A racer rib style tank in a knitted material with a high neckline.,Knitwear,Knitwear Sleeveless,Knitwear Sleeveless,SUMMER 2021,WHITE,S,https://www.glassons.com/content/products/kylie-knit-crop-top-skies-the-limit-front-kv48091rib.jpg?width=200
26197272,Ribbed Garter Tank,"This tank features garter style detailing with silver hardware, ribbed material and a crew neckline.",Knit Tops,Tops Sleeveless,Tops Sleeveless,SUMMER 2022,BLACK,S,https://www.glassons.com/content/products/ginny-garter-tank-black-front-tv50885aus.jpg?width=200
26490281,High Rise Wide Leg Pant,"These pants feature a high rise waist, wide leg fit, zip hook & eye clip closure and pockets.",Pants,Pants Woven,Pants Woven,SUMMER 2022,BLACK,10,https://www.glassons.com/content/products/cisco-pants-black-front-pw50721pln.jpg?width=200
26363233,Recycled Boxy Button Front Cardigan,"A knit cardigan featuring a boxy fit and button front detailing.

This product is made from certified recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill.",Knitwear,Knitwear Cardigans,Knitwear Cardigans,WINTER 2022,BLACK,S,https://www.glassons.com/content/products/r-co-brooklyn-boxy-cardigan-green-tambourine-front-kc52099rknt.jpg?width=200
26457598,Active Longline Sweat Short,"This sweat short features a high rise waist, an elasticated waistband, longline fit with a draw string and side pockets.",Shorts,Shorts Woven,Shorts Woven,SUMMER 2022,MILK,L,https://www.glassons.com/content/products/fayde-long-line-shorts-bella-blue-front-sw53388lbk.jpg?width=200
26691367,Mondays Classic Hoodie,"This classic hoodie features a Mondays graphic print, long sleeves, a full length and a front pocket.",Knit Tops,Tops Longsleeve,Tops Longsleeve,WINTER 2022,MONDAYS/MINTY,L,https://www.glassons.com/content/products/0coco-classic-hoodie-mondayspale-grey-front-tl54169prt.jpg?width=200
26231013,Recycled Seamless Halter Tank,"This top features a halter style neckline, seamless ribbed material and a cropped length.

This product is made from recycled nylon, recycled nylon reduces dependence on fossil fuels as a raw material and uses fewer resources including water and energy. Our Recycled Nylon is Global Recycled Standard (GRS) sourced and certified.",Knit Tops,Tops Sleeveless,Tops Sleeveless,WINTER 2021,CHOCOLATE MILK,M/L,https://www.glassons.com/content/products/hank-halter-neck-seamless-cash-cow-front-tv46683rsml.jpg?width=200
26402857,Recycled Knit Cropped Long Sleeve Cardigan,"This cardigan features a ribbed knit material, button through detail & a cropped length. This product is made from certified recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill.",Knitwear,Knitwear Cardigans,Knitwear Cardigans,WINTER 2022,SPRING ONION,M,https://www.glassons.com/content/products/r-casa-crop-cardi-hot-cocoa-front-kc52792rknt.jpg?width=200
26557809,Active Supersoft Crew Neck Cropped Tee,"This active tee features a cropped length, crew neckline & short sleeves. Experience unlimited movement with our brand new Supersoft Active fabrication. Wear it in or show it off.",Knit Tops,Tops Shortsleeve,Tops Shortsleeve,WINTER 2022,BLACK,M,https://www.glassons.com/content/products/dino-double-layer-tee-khaki-front-ts53923ss.jpg?width=200
